,comment,rating
0,"Приятный вкус, мне понравилось.",5
1,"Год урожая 2022, дата розлива 27.09.23. Ранее использовали Саперави из Прикумья Юга Ставропольского края, розлив Адыгея - был вполне достойный напиток. Сейчас виноматериал Саперави указаный на контэтикетке: Краснодарский и Ставропольский края, Крым (на сайте КиБ Прикумье, обман), розлв Адыгея. Мутная, спиртово-горькая жижа, ни носа ни вкуса НЕТ совсем.",2
2,"Покупала на новый год ,была разочарована сильно,партия плохая видно гнали некондицю к празднику,на вкус как молодое не выдержанное вино, даже язык пошипывало.Раньше постоянно брала,было хорошее по вкусу.Теперь покупать не буду.Испортилось качество.",2
3,"Покупаем это вино постоянно,нам нравится.",5
4,"Сладковатый вкус, взвешенные частички, осадок. Пьётся легко, но это из-за сладости, которой видимо производитель хотел сгладить недостатки. На оценку 3.",3
5,"Понравилось. Спиртом не отдаёт. Слегка сладковато для полуслодкого. Вообще вино пьют 1-2 бокала, дальше попойка))",4
6,"Вино понравилось, отличный вкус",5
7,очень вкусный напиток,5
8,Вино очень вкусное. Прям вкусное. Даже не ожидали за такую цену. Всем советую!,5
9,За эти деньги в списке лучших!,5
10,"Вкус приятный, но кисловатый. После приема 2/3 бутылки (может многовато) наступила изжога.",3
11,Вещь,5
12,"Мне понравилось, для своей ценовой категории приятный вкус, немного терпкое, алкоголя не чувствуется",5
13,"Ужасное вино ,повелись на стоимость и решили поддержать отечественного производителя. Кислое и неприятное (",0.5
14,Мне понравилось,5
15,Приятное вино.,5
16,не знаю. а мне зашло. пугал ценник. но съедобно),4
17,"Вино отличное, особенно если не охлаждать его.",5
18,кислятина,2
19,"Вино очень понравилось, не кислое и не сильно сладкое, в первую.",5
20,"Отличное вино. Приятный вкус. Густое, ножки на бокале остаются. Нет горечи. Сладковато терпковатый вкус.",5
21,Как будто разбавлено водой . Не понравилось,2
22,неприятное вино.,2
23,Зашло. Можно брать.,5
24,"Очень приятно вино, нам с мужем нравится. Нет спиртового запаха, голова не болит. На вкус лёгкое, в меру сладкое и отличное послевкусие. Особенно люблю его с ягодами-отличное сочетание!!!",5
25,Ужасное. Химозное. Не тратьте деньги. Лучше добавить и купить что-то более съедобное.,1
26,Единственное вкусное и не противное вино из дешёвых. Именно это бордовое. фиолетовое гадость,5
27,"Да, это ужас. Не ужос-ужос. Просто ужас. Российское прочтение Саперави отобьёт у Вас всю охоту приобщиться к этому божественному сорту. Дрянь, не вино, но лучше чем Саперави с такой же этикеткой, но в синем цвете. Надеюсь грузины не знают, что их алфавит используют на бутылке с этой жидкостью.",1
28,это лучше,5
29,Нормальное вино,4
30,"Хорошее, легкое вино!",5
